id,a,b,product,target_heuristic,ot_score,dd_score,rc_score,category,notes,digit_total,nonzero_total,complexity_c,split
hds_071,189,600,113400,DD,0.45,1.0,0.1,hundred_factor,Generated: 189*600,6,4,24,test
hds_072,190,280,53200,DD,0.45,1.0,0.1,zero_factor,Generated: 190*280 = 190*28*10,6,4,24,val
hds_073,190,760,144400,DD,0.45,1.0,0.1,zero_factor,Generated: 190*760 = 190*76*10,6,4,24,train
hds_074,190,810,153900,DD,0.45,1.0,0.1,zero_factor,Generated: 190*810 = 190*81*10,6,4,24,train
hds_075,192,900,172800,DD,0.45,1.0,0.1,quarter_hundred,Generated: 192*900 uses quarter-hundred decomposition,6,4,24,val
hds_076,194,800,155200,DD,0.45,1.0,0.1,hundred_factor,Generated: 194*800,6,4,24,train
hds_077,196,800,156800,DD,0.45,1.0,0.35,hundred_factor,Generated: 196*800,6,4,24,test
hds_078,197,900,177300,DD,0.45,1.0,0.35,quarter_hundred,Generated: 197*900 uses quarter-hundred decomposition,6,4,24,train
hds_079,207,740,153180,DD,0.45,1.0,0.1,zero_factor,Generated: 207*740 = 207*74*10,6,4,24,val
hds_080,225,700,157500,DD,0.45,1.0,0.1,hundred_factor,Generated: 225*700,6,4,24,train
hds_081,229,500,114500,DD,0.45,1.0,0.55,hundred_factor,Generated: 229*500,6,4,24,train
hds_082,232,100,23200,DD,0.45,1.0,0.55,quarter_hundred,Generated: 232*100 uses quarter-hundred decomposition,6,4,24,test
hds_083,282,200,56400,DD,0.45,1.0,0.55,hundred_factor,Generated: 282*200,6,4,24,train
hds_084,285,100,28500,DD,0.45,1.0,0.55,hundred_factor,Generated: 285*100,6,4,24,train
hds_085,296,100,29600,DD,0.45,1.0,0.55,hundred_factor,Generated: 296*100,6,4,24,train
hds_086,319,200,63800,DD,0.45,1.0,0.55,hundred_factor,Generated: 319*200,6,4,24,train
hds_087,321,700,224700,DD,0.45,1.0,0.1,quarter_hundred,Generated: 321*700 uses quarter-hundred decomposition,6,4,24,train
hds_088,334,300,100200,DD,0.45,1.0,0.1,hundred_factor,Generated: 334*300,6,4,24,train
hds_089,337,200,67400,DD,0.45,1.0,0.55,quarter_hundred,Generated: 337*200 uses quarter-hundred decomposition,6,4,24,train
hds_090,338,100,33800,DD,0.45,1.0,0.55,hundred_factor,Generated: 338*100,6,4,24,train
hds_091,349,600,209400,DD,0.45,1.0,0.1,hundred_factor,Generated: 349*600,6,4,24,train
hds_092,366,700,256200,DD,0.45,1.0,0.1,hundred_factor,Generated: 366*700,6,4,24,train
hds_093,370,950,351500,DD,0.45,1.0,0.1,zero_factor,Generated: 370*950 = 370*95*10,6,4,24,train
hds_094,415,900,373500,DD,0.45,1.0,0.1,quarter_hundred,Generated: 415*900 uses quarter-hundred decomposition,6,4,24,train
hds_095,422,600,253200,DD,0.45,1.0,0.1,hundred_factor,Generated: 422*600,6,4,24,val
hds_096,426,100,42600,DD,0.45,1.0,0.55,hundred_factor,Generated: 426*100,6,4,24,val
hds_097,426,200,85200,DD,0.45,1.0,0.55,hundred_factor,Generated: 426*200,6,4,24,train
hds_098,426,700,298200,DD,0.45,1.0,0.1,hundred_factor,Generated: 426*700,6,4,24,test
hds_099,445,200,89000,DD,0.45,1.0,0.55,hundred_factor,Generated: 445*200,6,4,24,test
hds_100,453,900,407700,DD,0.45,1.0,0.1,zero_factor,Generated: 453*900 = 453*90*10,6,4,24,test
hds_101,471,800,376800,DD,0.45,1.0,0.1,hundred_factor,Generated: 471*800,6,4,24,train
hds_102,479,800,383200,DD,0.45,1.0,0.1,quarter_hundred,Generated: 479*800 uses quarter-hundred decomposition,6,4,24,train
hds_103,496,100,49600,DD,0.45,1.0,0.55,hundred_factor,Generated: 496*100,6,4,24,train
hds_104,498,700,348600,DD,0.45,1.0,0.55,zero_factor,Generated: 498*700 = 498*70*10,6,4,24,train
hds_105,511,700,357700,DD,0.45,1.0,0.1,hundred_factor,Generated: 511*700,6,4,24,train
hds_106,520,450,234000,DD,0.45,1.0,0.1,zero_factor,Generated: 520*450 = 520*45*10,6,4,24,train
hds_107,550,750,412500,DD,0.45,1.0,0.1,quarter_hundred,Generated: 550*750 uses quarter-hundred decomposition,6,4,24,val
hds_108,552,900,496800,DD,0.45,1.0,0.1,hundred_factor,Generated: 552*900,6,4,24,train
hds_109,554,100,55400,DD,0.45,1.0,0.55,quarter_hundred,Generated: 554*100 uses quarter-hundred decomposition,6,4,24,train
hds_110,566,400,226400,DD,0.45,1.0,0.1,hundred_factor,Generated: 566*400,6,4,24,test
hds_111,584,900,525600,DD,0.45,1.0,0.1,quarter_hundred,Generated: 584*900 uses quarter-hundred decomposition,6,4,24,train
hds_112,592,200,118400,DD,0.45,1.0,0.55,quarter_hundred,Generated: 592*200 uses quarter-hundred decomposition,6,4,24,train
hds_113,592,400,236800,DD,0.45,1.0,0.1,hundred_factor,Generated: 592*400,6,4,24,val
hds_114,596,400,238400,DD,0.45,1.0,0.1,quarter_hundred,Generated: 596*400 uses quarter-hundred decomposition,6,4,24,train
hds_115,602,330,198660,DD,0.45,1.0,0.1,zero_factor,Generated: 602*330 = 602*33*10,6,4,24,train
hds_116,617,800,493600,DD,0.45,1.0,0.1,hundred_factor,Generated: 617*800,6,4,24,train
hds_117,621,700,434700,DD,0.45,1.0,0.1,hundred_factor,Generated: 621*700,6,4,24,train
hds_118,623,800,498400,DD,0.45,1.0,0.1,hundred_factor,Generated: 623*800,6,4,24,train
hds_119,628,100,62800,DD,0.45,1.0,0.55,hundred_factor,Generated: 628*100,6,4,24,train
hds_120,634,200,126800,DD,0.45,1.0,0.55,hundred_factor,Generated: 634*200,6,4,24,train
hds_121,643,300,192900,DD,0.45,1.0,0.1,hundred_factor,Generated: 643*300,6,4,24,train
hds_122,644,300,193200,DD,0.45,1.0,0.1,quarter_hundred,Generated: 644*300 uses quarter-hundred decomposition,6,4,24,val
hds_123,666,700,466200,DD,0.45,1.0,0.1,hundred_factor,Generated: 666*700,6,4,24,train
hds_124,669,500,334500,DD,0.45,1.0,0.55,zero_factor,Generated: 669*500 = 669*50*10,6,4,24,train
hds_125,677,500,338500,DD,0.45,1.0,0.55,hundred_factor,Generated: 677*500,6,4,24,train
hds_126,678,900,610200,DD,0.45,1.0,0.1,quarter_hundred,Generated: 678*900 uses quarter-hundred decomposition,6,4,24,test
hds_127,707,110,77770,DD,0.45,1.0,0.1,zero_factor,Generated: 707*110 = 707*11*10,6,4,24,val
hds_128,719,700,503300,DD,0.45,1.0,0.1,hundred_factor,Generated: 719*700,6,4,24,train
hds_129,726,600,435600,DD,0.45,1.0,0.1,hundred_factor,Generated: 726*600,6,4,24,train
hds_130,728,100,72800,DD,0.45,1.0,0.55,hundred_factor,Generated: 728*100,6,4,24,train
hds_131,733,900,659700,DD,0.45,1.0,0.1,quarter_hundred,Generated: 733*900 uses quarter-hundred decomposition,6,4,24,train
hds_132,751,500,375500,DD,0.45,1.0,0.55,hundred_factor,Generated: 751*500,6,4,24,train
hds_133,757,900,681300,DD,0.45,1.0,0.1,hundred_factor,Generated: 757*900,6,4,24,val
hds_134,763,400,305200,DD,0.45,1.0,0.1,hundred_factor,Generated: 763*400,6,4,24,train
hds_135,774,400,309600,DD,0.45,1.0,0.1,hundred_factor,Generated: 774*400,6,4,24,train
hds_136,776,900,698400,DD,0.45,1.0,0.1,hundred_factor,Generated: 776*900,6,4,24,test
hds_137,779,700,545300,DD,0.45,1.0,0.1,hundred_factor,Generated: 779*700,6,4,24,train
hds_138,780,460,358800,DD,0.45,1.0,0.1,zero_factor,Generated: 780*460 = 780*46*10,6,4,24,train
hds_139,791,900,711900,DD,0.45,1.0,0.1,hundred_factor,Generated: 791*900,6,4,24,train
hds_140,793,400,317200,DD,0.45,1.0,0.1,hundred_factor,Generated: 793*400,6,4,24,val
hds_141,793,700,555100,DD,0.45,1.0,0.1,hundred_factor,Generated: 793*700,6,4,24,val
hds_142,806,840,677040,DD,0.45,1.0,0.1,zero_factor,Generated: 806*840 = 806*84*10,6,4,24,train
hds_143,839,100,83900,DD,0.45,1.0,0.55,quarter_hundred,Generated: 839*100 uses quarter-hundred decomposition,6,4,24,val
hds_144,840,850,714000,DD,0.45,1.0,0.1,quarter_hundred,Generated: 840*850 uses quarter-hundred decomposition,6,4,24,test
hds_145,843,300,252900,DD,0.45,1.0,0.1,hundred_factor,Generated: 843*300,6,4,24,train
hds_146,847,200,169400,DD,0.45,1.0,0.55,hundred_factor,Generated: 847*200,6,4,24,train
hds_147,848,300,254400,DD,0.45,1.0,0.1,hundred_factor,Generated: 848*300,6,4,24,val
hds_148,848,700,593600,DD,0.45,1.0,0.1,hundred_factor,Generated: 848*700,6,4,24,train
hds_149,853,500,426500,DD,0.45,1.0,0.55,hundred_factor,Generated: 853*500,6,4,24,train
hds_150,863,600,517800,DD,0.45,1.0,0.1,hundred_factor,Generated: 863*600,6,4,24,train
hds_151,864,900,777600,DD,0.45,1.0,0.1,quarter_hundred,Generated: 864*900 uses quarter-hundred decomposition,6,4,24,test
hds_152,885,900,796500,DD,0.45,1.0,0.1,quarter_hundred,Generated: 885*900 uses quarter-hundred decomposition,6,4,24,val
hds_153,892,700,624400,DD,0.45,1.0,0.1,hundred_factor,Generated: 892*700,6,4,24,train
hds_154,894,700,625800,DD,0.45,1.0,0.1,quarter_hundred,Generated: 894*700 uses quarter-hundred decomposition,6,4,24,train
hds_155,901,520,468520,DD,0.45,1.0,0.1,zero_factor,Generated: 901*520 = 901*52*10,6,4,24,val
hds_156,904,940,849760,DD,0.45,1.0,0.1,zero_factor,Generated: 904*940 = 904*94*10,6,4,24,train
hds_157,910,350,318500,DD,0.45,1.0,0.1,quarter_hundred,Generated: 910*350 uses quarter-hundred decomposition,6,4,24,train
hds_158,920,780,717600,DD,0.45,1.0,0.1,zero_factor,Generated: 920*780 = 920*78*10,6,4,24,train
hds_159,926,700,648200,DD,0.45,1.0,0.1,quarter_hundred,Generated: 926*700 uses quarter-hundred decomposition,6,4,24,train
hds_160,929,200,185800,DD,0.45,1.0,0.55,quarter_hundred,Generated: 929*200 uses quarter-hundred decomposition,6,4,24,train
hds_161,940,850,799000,DD,0.45,1.0,0.1,quarter_hundred,Generated: 940*850 uses quarter-hundred decomposition,6,4,24,val
hds_162,946,800,756800,DD,0.45,1.0,0.1,hundred_factor,Generated: 946*800,6,4,24,train
hds_163,956,700,669200,DD,0.45,1.0,0.1,hundred_factor,Generated: 956*700,6,4,24,train
hds_164,959,700,671300,DD,0.45,1.0,0.1,hundred_factor,Generated: 959*700,6,4,24,train
hds_165,961,800,768800,DD,0.45,1.0,0.1,hundred_factor,Generated: 961*800,6,4,24,train
hds_166,962,300,288600,DD,0.45,1.0,0.1,hundred_factor,Generated: 962*300,6,4,24,train
hds_167,965,600,579000,DD,0.45,1.0,0.1,hundred_factor,Generated: 965*600,6,4,24,train
hds_168,973,800,778400,DD,0.45,1.0,0.1,hundred_factor,Generated: 973*800,6,4,24,val
hds_169,985,100,98500,DD,0.45,1.0,0.55,hundred_factor,Generated: 985*100,6,4,24,val
hds_170,993,500,496500,DD,0.45,1.0,0.55,hundred_factor,Generated: 993*500,6,4,24,val
hds_171,16,275,4400,DD,0.55,0.9999999999999999,0.1,quarter_hundred,Generated: 16*275 uses quarter-hundred decomposition,5,5,25,train
hds_172,25,466,11650,DD,0.55,0.9999999999999999,0.55,clean_decomp,Generated: 25 = 20+5,5,5,25,train
hds_173,48,225,10800,DD,0.55,0.9999999999999999,0.55,quarter_hundred,Generated: 48*225 uses quarter-hundred decomposition,5,5,25,train
hds_174,55,675,37125,DD,0.55,0.9999999999999999,0.35,quarter_hundred,Generated: 55*675 uses quarter-hundred decomposition,5,5,25,train
hds_175,71,525,37275,DD,0.55,0.9999999999999999,0.1,quarter_hundred,Generated: 71*525 uses quarter-hundred decomposition,5,5,25,train
hds_176,75,378,28350,DD,0.55,0.9999999999999999,0.1,clean_decomp,Generated: 75 = 70+5,5,5,25,train
hds_177,76,725,55100,DD,0.55,0.9999999999999999,0.1,quarter_hundred,Generated: 76*725 uses quarter-hundred decomposition,5,5,25,train
hds_178,79,275,21725,DD,0.55,0.9999999999999999,0.1,quarter_hundred,Generated: 79*275 uses quarter-hundred decomposition,5,5,25,val
hds_179,95,275,26125,DD,0.55,0.9999999999999999,0.35,quarter_hundred,Generated: 95*275 uses quarter-hundred decomposition,5,5,25,train
hds_180,235,25,5875,DD,0.55,0.9999999999999999,0.55,clean_decomp,Generated: 235 = 230+5,5,5,25,test
hds_181,347,25,8675,DD,0.55,0.9999999999999999,0.55,quarter_hundred,Generated: 347*25 uses quarter-hundred decomposition,5,5,25,train
hds_182,423,25,10575,DD,0.55,0.9999999999999999,0.55,quarter_hundred,Generated: 423*25 uses quarter-hundred decomposition,5,5,25,train
hds_183,525,47,24675,DD,0.55,0.9999999999999999,0.35,clean_decomp,Generated: 525 = 520+5,5,5,25,val
hds_184,575,14,8050,DD,0.55,0.9999999999999999,0.1,clean_decomp,Generated: 575 = 570+5,5,5,25,train
hds_185,625,38,23750,DD,0.55,0.9999999999999999,0.1,clean_decomp,Generated: 625 = 620+5,5,5,25,train
hds_186,784,75,58800,DD,0.55,0.9999999999999999,0.1,quarter_hundred,Generated: 784*75 uses quarter-hundred decomposition,5,5,25,test
hds_187,794,25,19850,DD,0.55,0.9999999999999999,0.55,quarter_hundred,Generated: 794*25 uses quarter-hundred decomposition,5,5,25,train
hds_188,885,11,9735,DD,0.45,0.65,0.1,clean_decomp,Generated: 885 = 880+5,5,5,25,train
hds_189,915,71,64965,DD,0.45,0.65,0.1,clean_decomp,Generated: 915 = 910+5,5,5,25,test
hds_190,119,750,89250,DD,0.45,1.0,0.1,zero_factor,Generated: 119*750 = 119*75*10,6,5,30,test
hds_191,138,970,133860,DD,0.45,1.0,0.1,zero_factor,Generated: 138*970 = 138*97*10,6,5,30,test
hds_192,152,150,22800,DD,0.45,1.0,0.1,quarter_hundred,Generated: 152*150 uses quarter-hundred decomposition,6,5,30,train
hds_193,165,309,50985,DD,0.45,0.65,0.1,clean_decomp,Generated: 165 = 160+5,6,5,30,train
hds_194,175,201,35175,DD,0.45,0.9999999999999999,0.55,clean_decomp,Generated: 175 = 170+5,6,5,30,train
hds_195,185,770,142450,DD,0.45,1.0,0.1,zero_factor,Generated: 185*770 = 185*77*10,6,5,30,train
hds_196,190,175,33250,DD,0.45,1.0,0.1,quarter_hundred,Generated: 190*175 uses quarter-hundred decomposition,6,5,30,train
hds_197,205,925,189625,DD,0.55,0.9999999999999999,0.35,quarter_hundred,Generated: 205*925 uses quarter-hundred decomposition,6,5,30,train
hds_198,215,390,83850,DD,0.45,1.0,0.1,zero_factor,Generated: 215*390 = 215*39*10,6,5,30,test
hds_199,224,550,123200,DD,0.55,1.0,0.1,quarter_hundred,Generated: 224*550 uses quarter-hundred decomposition,6,5,30,val
hds_200,225,120,27000,DD,0.45,1.0,0.1,zero_factor,Generated: 225*120 = 225*12*10,6,5,30,train
hds_201,227,920,208840,DD,0.45,1.0,0.1,zero_factor,Generated: 227*920 = 227*92*10,6,5,30,train
hds_202,233,290,67570,DD,0.45,1.0,0.1,zero_factor,Generated: 233*290 = 233*29*10,6,5,30,train
hds_203,233,670,156110,DD,0.55,1.0,0.1,zero_factor,Generated: 233*670 = 233*67*10,6,5,30,train
hds_204,263,750,197250,DD,0.55,1.0,0.1,quarter_hundred,Generated: 263*750 uses quarter-hundred decomposition,6,5,30,train
hds_205,264,710,187440,DD,0.45,1.0,0.1,zero_factor,Generated: 264*710 = 264*71*10,6,5,30,val
hds_206,266,820,218120,DD,0.55,1.0,0.1,zero_factor,Generated: 266*820 = 266*82*10,6,5,30,train
hds_207,267,440,117480,DD,0.45,1.0,0.1,zero_factor,Generated: 267*440 = 267*44*10,6,5,30,train
hds_208,274,710,194540,DD,0.45,1.0,0.1,zero_factor,Generated: 274*710 = 274*71*10,6,5,30,train
hds_209,281,320,89920,DD,0.45,1.0,0.1,zero_factor,Generated: 281*320 = 281*32*10,6,5,30,test
hds_210,285,770,219450,DD,0.55,1.0,0.1,clean_decomp,Generated: 285 = 280+5,6,5,30,train
hds_211,288,480,138240,DD,0.55,1.0,0.1,zero_factor,Generated: 288*480 = 288*48*10,6,5,30,test
hds_212,305,189,57645,DD,0.45,0.65,0.1,clean_decomp,Generated: 305 = 300+5,6,5,30,train
hds_213,309,675,208575,DD,0.55,0.9999999999999999,0.1,quarter_hundred,Generated: 309*675 uses quarter-hundred decomposition,6,5,30,train
hds_214,311,910,283010,DD,0.45,1.0,0.1,zero_factor,Generated: 311*910 = 311*91*10,6,5,30,train
hds_215,312,510,159120,DD,0.45,1.0,0.1,zero_factor,Generated: 312*510 = 312*51*10,6,5,30,train
hds_216,315,180,56700,DD,0.45,1.0,0.1,zero_factor,Generated: 315*180 = 315*18*10,6,5,30,train
hds_217,315,870,274050,DD,0.45,1.0,0.1,clean_decomp,Generated: 315 = 310+5,6,5,30,train
hds_218,319,990,315810,DD,0.45,1.0,0.1,zero_factor,Generated: 319*990 = 319*99*10,6,5,30,train
hds_219,336,340,114240,DD,0.45,1.0,0.1,zero_factor,Generated: 336*340 = 336*34*10,6,5,30,val
hds_220,343,960,329280,DD,0.55,1.0,0.1,zero_factor,Generated: 343*960 = 343*96*10,6,5,30,test
hds_221,369,640,236160,DD,0.55,1.0,0.1,zero_factor,Generated: 369*640 = 369*64*10,6,5,30,val
hds_222,373,730,272290,DD,0.45,1.0,0.1,zero_factor,Generated: 373*730 = 373*73*10,6,5,30,train
hds_223,391,540,211140,DD,0.45,1.0,0.1,zero_factor,Generated: 391*540 = 391*54*10,6,5,30,train
hds_224,406,575,233450,DD,0.55,0.9999999999999999,0.1,quarter_hundred,Generated: 406*575 uses quarter-hundred decomposition,6,5,30,train
hds_225,428,650,278200,DD,0.55,1.0,0.1,quarter_hundred,Generated: 428*650 uses quarter-hundred decomposition,6,5,30,train
hds_226,431,550,237050,DD,0.45,1.0,0.1,quarter_hundred,Generated: 431*550 uses quarter-hundred decomposition,6,5,30,val
hds_227,433,350,151550,DD,0.45,1.0,0.1,zero_factor,Generated: 433*350 = 433*35*10,6,5,30,train
hds_228,434,720,312480,DD,0.45,1.0,0.1,zero_factor,Generated: 434*720 = 434*72*10,6,5,30,train
hds_229,448,170,76160,DD,0.45,1.0,0.1,zero_factor,Generated: 448*170 = 448*17*10,6,5,30,train
hds_230,458,890,407620,DD,0.55,1.0,0.1,zero_factor,Generated: 458*890 = 458*89*10,6,5,30,train
hds_231,461,150,69150,DD,0.45,1.0,0.1,quarter_hundred,Generated: 461*150 uses quarter-hundred decomposition,6,5,30,val
hds_232,470,675,317250,DD,0.55,1.0,0.1,quarter_hundred,Generated: 470*675 uses quarter-hundred decomposition,6,5,30,train
hds_233,485,640,310400,DD,0.55,1.0,0.1,zero_factor,Generated: 485*640 = 485*64*10,6,5,30,train
hds_234,487,350,170450,DD,0.55,1.0,0.1,quarter_hundred,Generated: 487*350 uses quarter-hundred decomposition,6,5,30,train
hds_235,489,850,415650,DD,0.55,1.0,0.1,quarter_hundred,Generated: 489*850 uses quarter-hundred decomposition,6,5,30,train
hds_236,506,625,316250,DD,0.55,0.9999999999999999,0.1,quarter_hundred,Generated: 506*625 uses quarter-hundred decomposition,6,5,30,train
hds_237,516,810,417960,DD,0.45,1.0,0.1,zero_factor,Generated: 516*810 = 516*81*10,6,5,30,train
