id,a,b,a_times_b,template_a,template_b,digits_a,digits_b,nonzero_a,nonzero_b,digit_total,nonzero_total,complexity_c,stratum_id,split
mm_00027,562335459,798498537,449024041314723483,DDDDDDDDD,DDDDDDDDD,9,9,9,9,18,18,324,d18_nz18,train
mm_00028,7815371,761786421,5953643502877191,DDDDDDD,DDDDDDDDD,7,9,7,9,16,16,256,d16_nz16,val
mm_00029,89502480,10000000,895024800000000,DDD0DDD0,D0000000,8,8,6,1,16,7,112,d16_nz7,train
mm_00030,722442821,35083060,25345504835712260,DDDDDDDDD,DD0DD0D0,9,8,9,5,17,14,238,d17_nz14,train
mm_00031,40000050,200000000,8000010000000000,D00000D0,D00000000,8,9,2,1,17,3,51,d17_nz3,train
mm_00032,764837003,650405000,497453810936215000,DDDDDD00D,DD0D0D000,9,9,7,4,18,11,198,d18_nz11,test
mm_00033,713820000,85240000,60846016800000000,DDDDD0000,DDDD0000,9,8,5,4,17,9,153,d17_nz9,test
mm_00034,294000,500060,147017640000,DDD000,D000D0,6,6,3,2,12,5,60,d12_nz5,val
mm_00035,3700,100,370000,DD00,D00,4,3,2,1,7,3,21,d7_nz3,train
mm_00036,908205,26404350,23980562691750,D0DD0D,DDD0DDD0,6,8,4,6,14,10,140,d14_nz10,train
mm_00037,709003,66675,47272775025,D0D00D,DDDDD,6,5,3,5,11,8,88,d11_nz8,train
mm_00038,987666196,999900604,987568025930782384,DDDDDDDDD,DDDD00D0D,9,9,9,6,18,15,270,d18_nz15,train
mm_00039,840000,83002,69721680000,DD0000,DD00D,6,5,2,3,11,5,55,d11_nz5,train
mm_00040,702000000,98537656,69173434512000000,D0D000000,DDDDDDDD,9,8,2,8,17,10,170,d17_nz10,test
mm_00041,3150190,900000000,2835171000000000,DDD0DD0,D00000000,7,9,5,1,16,6,96,d16_nz6,train
mm_00042,200009508,333584365,66720044720142420,D0000DD0D,DDDDDDDDD,9,9,4,9,18,13,234,d18_nz13,train
mm_00043,734613051,68465546,50295683635440846,DDDDDD0DD,DDDDDDDD,9,8,8,8,17,16,272,d17_nz16,test
mm_00044,549516569,236608219,130020136702080611,DDDDDDDDD,DDDD0DDDD,9,9,9,8,18,17,306,d18_nz17,val
mm_00045,39395,15132943,596162289485,DDDDD,DDDDDDDD,5,8,5,8,13,13,169,d13_nz13,train
mm_00046,720588,20010,14418965880,DD0DDD,D00D0,6,5,5,2,11,7,77,d11_nz7,train
mm_00047,300000000,336000002,100800000600000000,D00000000,DDD00000D,9,9,1,4,18,5,90,d18_nz5,train
mm_00048,900,200000,180000000,D00,D00000,3,6,1,1,9,2,18,d9_nz2,train
mm_00049,955839,370360828,354005323474692,DDDDDD,DD0DD0DDD,6,9,6,7,15,13,195,d15_nz13,val
mm_00050,742331103,567546354,421307310968448462,DDDDDDD0D,DDDDDDDDD,9,9,8,9,18,17,306,d18_nz17,train
mm_00051,3032,45176544,136975281408,D0DD,DDDDDDDD,4,8,3,8,12,11,132,d12_nz11,test
mm_00052,535544939,30000090,16066396369044510,DDDDDDDDD,D00000D0,9,8,9,2,17,11,187,d17_nz11,train
mm_00053,30000,380108964,11403268920000,D0000,DD0D0DDDD,5,9,1,7,14,8,112,d14_nz8,test
mm_00054,48377871,78344099,3790120715033229,DDDDDDDD,DDDDD0DD,8,8,8,7,16,15,240,d16_nz15,train
mm_00055,564030435,836279,471686808151365,DDD0D0DDD,DDDDDD,9,6,7,6,15,13,195,d15_nz13,train
mm_00056,610550003,469100033,286409026555450099,DD0DD000D,DDDD000DD,9,9,5,6,18,11,198,d18_nz11,train
mm_00057,330638006,700000000,231446604200000000,DD0DDD00D,D00000000,9,9,6,1,18,7,126,d18_nz7,train
mm_00058,2076,570000660,1183321370160,D0DD,DD0000DD0,4,9,3,4,13,7,91,d13_nz7,train
mm_00059,802559420,98085439,78719393034285380,D0DDDDDD0,DD0DDDDD,9,8,7,7,17,14,238,d17_nz14,train
mm_00060,4083900,70796179,289124515418100,D0DDD00,D0DDDDDD,7,8,4,7,15,11,165,d15_nz11,train
mm_00061,89376286,45683,4082976873338,DDDDDDDD,DDDDD,8,5,8,5,13,13,169,d13_nz13,test
mm_00062,405200000,314357645,127377717754000000,D0DD00000,DDDDDDDDD,9,9,3,9,18,12,216,d18_nz12,train
mm_00063,353716089,500900400,177176530466535600,DDDDDD0DD,D00D00D00,9,9,8,3,18,11,198,d18_nz11,train
mm_00064,839242382,553257447,464317097679518754,DDDDDDDDD,DDDDDDDDD,9,9,9,9,18,18,324,d18_nz18,train
mm_00065,15441303,66376,1024931927928,DDDDDD0D,DDDDD,8,5,7,5,13,12,156,d13_nz12,train
mm_00066,159448152,87145826,13895240910213552,DDDDDDDDD,DDDDDDDD,9,8,9,8,17,17,289,d17_nz17,train
mm_00067,2819968,13713262,38670960015616,DDDDDDD,DDDDDDDD,7,8,7,8,15,15,225,d15_nz15,train
mm_00068,6007080,95351846,572786167069680,D00D0D0,DDDDDDDD,7,8,3,8,15,11,165,d15_nz11,train
mm_00069,49619457,16731573,830211567015861,DDDDDDDD,DDDDDDDD,8,8,8,8,16,16,256,d16_nz16,train
mm_00070,2130008,141204851,300767462268808,DDD000D,DDDD0DDDD,7,9,4,8,16,12,192,d16_nz12,train
mm_00071,4165028,160181080,667158683270240,DDDD0DD,DD0DDD0D0,7,9,6,6,16,12,192,d16_nz12,train
mm_00072,800000000,200000060,160000048000000000,D00000000,D000000D0,9,9,1,2,18,3,54,d18_nz3,train
mm_00073,11514659,937696996,10797261154264364,DDDDDDDD,DDDDDDDDD,8,9,8,9,17,17,289,d17_nz17,train
mm_00074,9044,978949355,8853617966620,D0DD,DDDDDDDDD,4,9,3,9,13,12,156,d13_nz12,test
mm_00075,100000009,90902900,9090290818126100,D0000000D,D0D0DD00,9,8,2,4,17,6,102,d17_nz6,val
mm_00076,556539532,500000,278269766000000,DDDDDDDDD,D00000,9,6,9,1,15,10,150,d15_nz10,train
mm_00077,75820760,23305,1767002811800,DDDD0DD0,DDD0D,8,5,6,4,13,10,130,d13_nz10,train
mm_00078,94924874,30070000,2854390961180000,DDDDDDDD,D00D0000,8,8,8,2,16,10,160,d16_nz10,train
mm_00079,231185184,62674,14489300222016,DDDDDDDDD,DDDDD,9,5,9,5,14,14,196,d14_nz14,train
mm_00080,37027777,791419531,29304505907312587,DD0DDDDD,DDDDDDDDD,8,9,7,9,17,16,272,d17_nz16,val
mm_00081,176688339,700064220,123693184225130580,DDDDDDDDD,D000DDDD0,9,9,9,5,18,14,252,d18_nz14,train
mm_00082,105014750,550553807,57816270403653250,D0D0DDDD0,DD0DDDD0D,9,9,6,7,18,13,234,d18_nz13,train
mm_00083,647586467,418734,271166471672778,DDDDDDDDD,DDDDDD,9,6,9,6,15,15,225,d15_nz15,val
mm_00084,30730492,11844,363971947248,D0DD0DDD,DDDDD,8,5,6,5,13,11,143,d13_nz11,train
mm_00085,64036,800,51228800,DD0DD,D00,5,3,4,1,8,5,40,d8_nz5,train
mm_00086,8000,905590300,7244722400000,D000,D0DDD0D00,4,9,1,5,13,6,78,d13_nz6,train
mm_00087,100400009,900000022,90360010308800198,D00D0000D,D000000DD,9,9,3,3,18,6,108,d18_nz6,train
mm_00088,300000000,20000000,6000000000000000,D00000000,D0000000,9,8,1,1,17,2,34,d17_nz2,train
mm_00089,384271836,343465,131983926151740,DDDDDDDDD,DDDDDD,9,6,9,6,15,15,225,d15_nz15,train
mm_00090,133305,289101404,38538662660220,DDDD0D,DDDD0DD0D,6,9,5,7,15,12,180,d15_nz12,val
mm_00091,72623,640,46478720,DDDDD,DD0,5,3,5,2,8,7,56,d8_nz7,train
mm_00092,367538431,889026,326751221158206,DDDDDDDDD,DDD0DD,9,6,9,5,15,14,210,d15_nz14,val
mm_00093,84049000,815466460,68539140496540000,DD0DD000,DDDDDDDD0,8,9,4,8,17,12,204,d17_nz12,test
mm_00094,493162434,8565,4223936247210,DDDDDDDDD,DDDD,9,4,9,4,13,13,169,d13_nz13,test
mm_00095,3000500,821000,2463410500000,D000D00,DDD000,7,6,2,3,13,5,65,d13_nz5,train
mm_00096,951885692,413941362,394024859814792504,DDDDDDDDD,DDDDDDDDD,9,9,9,9,18,18,324,d18_nz18,train
mm_00097,550500,7540404,4150992402000,DD0D00,DDD0D0D,6,7,3,5,13,8,104,d13_nz8,val
mm_00098,377695506,400800090,151380392797395540,DDDDDDD0D,D00D000D0,9,9,8,3,18,11,198,d18_nz11,train
mm_00099,200000,90000290,18000058000000,D00000,D0000DD0,6,8,1,3,14,4,56,d14_nz4,train
mm_00100,80,80050803,6404064240,D0,D00D0D0D,2,8,1,4,10,5,50,d10_nz5,train
mm_00101,500000050,723567393,361783732678369650,D000000D0,DDDDDDDDD,9,9,2,9,18,11,198,d18_nz11,test
mm_00102,900000000,780,702000000000,D00000000,DD0,9,3,1,2,12,3,36,d12_nz3,test
mm_00103,700000009,61074397,42752078449669573,D0000000D,DD0DDDDD,9,8,2,7,17,9,153,d17_nz9,val
mm_00104,504600906,400360,202022018726160,D0DD00D0D,D00DD0,9,6,5,3,15,8,120,d15_nz8,train
mm_00105,505362552,117503674,59381956562016048,D0DDDDDDD,DDDD0DDDD,9,9,8,8,18,16,288,d18_nz16,val
mm_00106,5441272,427613465,2326761173927480,DDDDDDD,DDDDDDDDD,7,9,7,9,16,16,256,d16_nz16,test
mm_00107,602502607,7439201,4482137996497007,D0DD0DD0D,DDDDD0D,9,7,6,6,16,12,192,d16_nz12,train
mm_00108,70500807,300,21150242100,D0D00D0D,D00,8,3,4,1,11,5,55,d11_nz5,val
mm_00109,781928542,591144474,462232736666176908,DDDDDDDDD,DDDDDDDDD,9,9,9,9,18,18,324,d18_nz18,test
mm_00110,78531700,859075074,67464625988845800,DDDDDD00,DDD0DD0DD,8,9,6,7,17,13,221,d17_nz13,train
mm_00111,88570646,100030507,8859766624697522,DDDD0DDD,D000D0D0D,8,9,7,4,17,11,187,d17_nz11,train
mm_00112,566024930,372460097,210821700332218210,DDD0DDDD0,DDDDD00DD,9,9,7,7,18,14,252,d18_nz14,train
mm_00113,167035638,50580210,8448697647523980,DDD0DDDDD,D0DD0DD0,9,8,8,5,17,13,221,d17_nz13,val
mm_00114,6500,70101850,455662025000,DD00,D0D0DDD0,4,8,2,5,12,7,84,d12_nz7,train
mm_00115,359000000,2040,732360000000,DDD000000,D0D0,9,4,3,2,13,5,65,d13_nz5,val
mm_00116,7000,700000000,4900000000000,D000,D00000000,4,9,1,1,13,2,26,d13_nz2,test
mm_00117,13591410,84818092,1152797463789720,DDDDDDD0,DDDDD0DD,8,8,7,7,16,14,224,d16_nz14,train
mm_00118,38086905,771779039,29394674939384295,DD0DDD0D,DDDDDD0DD,8,9,6,8,17,14,238,d17_nz14,test
mm_00119,10280012,4,41120048,D0DD00DD,D,8,1,5,1,9,6,54,d9_nz6,train
mm_00120,796,20309002,16165965592,DDD,D0D0D00D,3,8,3,4,11,7,77,d11_nz7,test
mm_00121,800300,3526,2821857800,D00D00,DDDD,6,4,2,4,10,6,60,d10_nz6,train
mm_00122,945600577,158556157,149930793546102589,DDDD00DDD,DDDDDDDDD,9,9,7,9,18,16,288,d18_nz16,train
mm_00123,2400,6730,16152000,DD00,DDD0,4,4,2,3,8,5,40,d8_nz5,test
mm_00124,337749316,896880718,302920849038088888,DDDDDDDDD,DDDDD0DDD,9,9,9,8,18,17,306,d18_nz17,train
mm_00125,437011866,579015429,253036613070080514,DDD0DDDDD,DDD0DDDDD,9,9,8,8,18,16,288,d18_nz16,test
mm_00126,80000,673063,53845040000,D0000,DDD0DD,5,6,1,5,11,6,66,d11_nz6,val
mm_00127,278810,335000758,93401561337980,DDDDD0,DDD000DDD,6,9,5,6,15,11,165,d15_nz11,train
mm_00128,449706374,406890843,182981405619333282,DDDD0DDDD,D0DDD0DDD,9,9,8,7,18,15,270,d18_nz15,train
mm_00129,627498552,600000007,376499135592489864,DDDDDDDDD,D0000000D,9,9,9,2,18,11,198,d18_nz11,test
mm_00130,51100507,790000090,40369405129045630,DDD00D0D,DD00000D0,8,9,5,3,17,8,136,d17_nz8,train
mm_00131,5031,104096108,523707519348,D0DD,D0D0DDD0D,4,9,3,6,13,9,117,d13_nz9,val
mm_00132,260300050,950260950,247352972798047500,DD0D000D0,DD0DD0DD0,9,9,4,6,18,10,180,d18_nz10,train
mm_00133,57007,2020,115154140,DD00D,D0D0,5,4,3,2,9,5,45,d9_nz5,train
mm_00134,492355647,884548715,435512554876843605,DDDDDDDDD,DDDDDDDDD,9,9,9,9,18,18,324,d18_nz18,train
mm_00135,4344282,295649087,1284383006970534,DDDDDDD,DDDDDD0DD,7,9,7,8,16,15,240,d16_nz15,train
mm_00136,29856396,4567889,136380702868044,DDDDDDDD,DDDDDDD,8,7,8,7,15,15,225,d15_nz15,train
mm_00137,635225941,830560637,527593662195884417,DDDDDDDDD,DD0DD0DDD,9,9,9,7,18,16,288,d18_nz16,train
mm_00138,646624716,173898,112446744862968,DDDDDDDDD,DDDDDD,9,6,9,6,15,15,225,d15_nz15,train
mm_00139,5462042,479000200,2616319210408400,DDDD0DD,DDD000D00,7,9,6,4,16,10,160,d16_nz10,train
mm_00140,3210040,310850369,997842118504760,DDD00D0,DD0DD0DDD,7,9,4,7,16,11,176,d16_nz11,train
mm_00141,941727622,2090008,1968218263800976,DDDDDDDDD,D0D000D,9,7,9,3,16,12,192,d16_nz12,val
mm_00142,34696444,917873319,31846940211777636,DDDDDDDD,DDDDDDDDD,8,9,8,9,17,17,289,d17_nz17,train
mm_00143,600450090,773400090,464388153646508100,D00DD00D0,DDDD000D0,9,9,4,5,18,9,162,d18_nz9,val
mm_00144,532542410,4000000,2130169640000000,DDDDDDDD0,D000000,9,7,8,1,16,9,144,d16_nz9,train
mm_00145,82967618,150117355,12454879364810390,DDDDDDDD,DD0DDDDDD,8,9,8,8,17,16,272,d17_nz16,test
mm_00146,9006400,7000000,63044800000000,D00DD00,D000000,7,7,3,1,14,4,56,d14_nz4,test
mm_00147,1305897,585702338,764866926087186,DD0DDDD,DDDD0DDDD,7,9,6,8,16,14,224,d16_nz14,test
mm_00148,75010001,35800,2685358035800,DD0D000D,DDD00,8,5,4,3,13,7,91,d13_nz7,train
mm_00149,2160835,6,12965010,DDD0DDD,D,7,1,6,1,8,7,56,d8_nz7,train
mm_00150,935377246,14010,13104635216460,DDDDDDDDD,DD0D0,9,5,9,3,14,12,168,d14_nz12,train
mm_00151,800000006,7004075,5603260042024450,D0000000D,D00D0DD,9,7,2,4,16,6,96,d16_nz6,train
mm_00152,88,40000,3520000,DD,D0000,2,5,2,1,7,3,21,d7_nz3,test
mm_00153,910603801,501009540,456221191461261540,DD0D0DD0D,D0D00DDD0,9,9,6,5,18,11,198,d18_nz11,train
mm_00154,460198749,346953917,159667758564049833,DD0DDDDDD,DDDDDDDDD,9,9,8,9,18,17,306,d18_nz17,train
mm_00155,294998,824481717,243220457551566,DDDDDD,DDDDDDDDD,6,9,6,9,15,15,225,d15_nz15,val
mm_00156,600070000,50000000,30003500000000000,D000D0000,D0000000,9,8,2,1,17,3,51,d17_nz3,train
mm_00157,955878358,20000270,19117825247156660,DDDDDDDDD,D0000DD0,9,8,9,3,17,12,204,d17_nz12,train
mm_00158,35070603,356000105,12485138350413315,DD0D0D0D,DDD000D0D,8,9,5,5,17,10,170,d17_nz10,train
mm_00159,109783773,790360187,86768723357845551,D0DDDDDDD,DD0DD0DDD,9,9,8,7,18,15,270,d18_nz15,train
mm_00160,560000670,900000000,504000603000000000,DD0000DD0,D00000000,9,9,4,1,18,5,90,d18_nz5,train
mm_00161,278650,921608942,256806331688300,DDDDD0,DDDD0DDDD,6,9,5,8,15,13,195,d15_nz13,train
mm_00162,6500,500000000,3250000000000,DD00,D00000000,4,9,2,1,13,3,39,d13_nz3,test
mm_00163,918916,897320906,824562537657896,DDDDDD,DDDDD0D0D,6,9,6,7,15,13,195,d15_nz13,train
mm_00164,2000,920700003,1841400006000,D000,DD0D0000D,4,9,1,4,13,5,65,d13_nz5,test
mm_00165,93772248,60044090,5630469298414320,DDDDDDDD,D00DD0D0,8,8,8,4,16,12,192,d16_nz12,train
mm_00166,566818751,747438018,423661883812675518,DDDDDDDDD,DDDDDD0DD,9,9,9,8,18,17,306,d18_nz17,train
mm_00167,52636,81148494,4271332130184,DDDDD,DDDDDDDD,5,8,5,8,13,13,169,d13_nz13,train
mm_00168,540803000,41004000,22175086212000000,DD0D0D000,DD00D000,9,8,4,3,17,7,119,d17_nz7,train
mm_00169,58227067,700000006,40758947249362402,DDDDD0DD,D0000000D,8,9,7,2,17,9,153,d17_nz9,train
mm_00170,14100,13777,194255700,DDD00,DDDDD,5,5,3,5,10,8,80,d10_nz8,train
mm_00171,6919916,45116,312198930256,DDDDDDD,DDDDD,7,5,7,5,12,12,144,d12_nz12,train
mm_00172,835388215,1170760,978039106593400,DDDDDDDDD,DDD0DD0,9,7,9,5,16,14,224,d16_nz14,val
mm_00173,5476883,365249876,2000430836616508,DDDDDDD,DDDDDDDDD,7,9,7,9,16,16,256,d16_nz16,train
mm_00174,920863489,412035,379427987690115,DD0DDDDDD,DDD0DD,9,6,8,5,15,13,195,d15_nz13,test
mm_00175,667189945,182256,121599370615920,DDDDDDDDD,DDDDDD,9,6,9,6,15,15,225,d15_nz15,val
mm_00176,55933174,10000,559331740000,DDDDDDDD,D0000,8,5,8,1,13,9,117,d13_nz9,test
mm_00177,431443456,30150368,13008178969591808,DDDDDDDDD,D0DD0DDD,9,8,9,6,17,15,255,d17_nz15,test
mm_00178,584634561,5881627,3438602419110747,DDDDDDDDD,DDDDDDD,9,7,9,7,16,16,256,d16_nz16,train
mm_00179,651047051,919858692,598871288763317292,DDD0DD0DD,DDDDDDDDD,9,9,7,9,18,16,288,d18_nz16,train
mm_00180,862816777,731271507,630953324781672939,DDDDDDDDD,DDDDDDD0D,9,9,9,8,18,17,306,d18_nz17,train
mm_00181,24591303,233402705,5739676639674615,DDDDDD0D,DDDD0DD0D,8,9,7,7,17,14,238,d17_nz14,train
mm_00182,5000000,2004009,10020045000000,D000000,D00D00D,7,7,1,3,14,4,56,d14_nz4,train
mm_00183,321211233,548985946,176340452614331418,DDDDDDDDD,DDDDDDDDD,9,9,9,9,18,18,324,d18_nz18,test
mm_00184,635000213,839257456,532928663321838128,DDD000DDD,DDDDDDDDD,9,9,6,9,18,15,270,d18_nz15,train
mm_00185,96530,80000,7722400000,DDDD0,D0000,5,5,4,1,10,5,50,d10_nz5,val
mm_00186,410989004,30000404,12329836159557616,DD0DDD00D,D0000D0D,9,8,6,3,17,9,153,d17_nz9,test
mm_00187,559113714,831918685,465137145716346090,DDDDDDDDD,DDDDDDDDD,9,9,9,9,18,18,324,d18_nz18,test
mm_00188,300005300,743001,222904237905300,D0000DD00,DDD00D,9,6,3,4,15,7,105,d15_nz7,test
mm_00189,3,7620684,22862052,D,DDD0DDD,1,7,1,6,8,7,56,d8_nz7,train
mm_00190,741287455,674942996,500326775774915180,DDDDDDDDD,DDDDDDDDD,9,9,9,9,18,18,324,d18_nz18,val
mm_00191,5589385,912693186,5101393603430610,DDDDDDD,DDDDDDDDD,7,9,7,9,16,16,256,d16_nz16,train
mm_00192,6300,276,1738800,DD00,DDD,4,3,2,3,7,5,35,d7_nz5,val
mm_00193,801362193,313480016,251211033083435088,D0DDDDDDD,DDDDD00DD,9,9,8,7,18,15,270,d18_nz15,train
mm_00194,40496340,254992331,10326256133568540,D0DDDDD0,DDDDDDDDD,8,9,6,9,17,15,255,d17_nz15,train
mm_00195,947051002,448307705,424570261224570410,DDD0DD00D,DDDD0DD0D,9,9,6,7,18,13,234,d18_nz13,train
mm_00196,315725,3129380,988023500500,DDDDDD,DDDDDD0,6,7,6,6,13,12,156,d13_nz12,test
mm_00197,706605000,157545933,111322743987465000,D0DD0D000,DDDDDDDDD,9,9,4,9,18,13,234,d18_nz13,train
mm_00198,665367490,4805000,3197090789450000,DDDDDDDD0,DD0D000,9,7,8,3,16,11,176,d16_nz11,train
mm_00199,3420446,6367904,21781071765184,DDD0DDD,DDDDD0D,7,7,6,6,14,12,168,d14_nz12,train
mm_00200,300000000,506934349,152080304700000000,D00000000,D0DDDDDDD,9,9,1,8,18,9,162,d18_nz9,train
mm_00201,980,775817154,760300810920,DD0,DDDDDDDDD,3,9,2,9,12,11,132,d12_nz11,train
mm_00202,200000000,6994181,1398836200000000,D00000000,DDDDDDD,9,7,1,7,16,8,128,d16_nz8,val
mm_00203,844821237,738281498,623715888394573026,DDDDDDDDD,DDDDDDDDD,9,9,9,9,18,18,324,d18_nz18,train
mm_00204,58290314,580900000,33860843402600000,DDDD0DDD,DD0D00000,8,9,7,3,17,10,170,d17_nz10,train
mm_00205,123939762,2037721,252554655762402,DDDDDDDDD,D0DDDDD,9,7,9,6,16,15,240,d16_nz15,train
mm_00206,867521212,30110070,26121124419804840,DDDDDDDDD,D0DD00D0,9,8,9,4,17,13,221,d17_nz13,train
mm_00207,571877612,323563794,185038889842379928,DDDDDDDDD,DDDDDDDDD,9,9,9,9,18,18,324,d18_nz18,train
mm_00208,300285050,702509020,210952956196151000,D00DDD0D0,D0DD0D0D0,9,9,5,5,18,10,180,d18_nz10,train
mm_00209,4978,489182931,2435152630518,DDDD,DDDDDDDDD,4,9,4,9,13,13,169,d13_nz13,train
mm_00210,100000,600004,60000400000,D00000,D0000D,6,6,1,2,12,3,36,d12_nz3,train
mm_00211,724764808,648589842,470075092307880336,DDDDDDD0D,DDDDDDDDD,9,9,8,9,18,17,306,d18_nz17,test
mm_00212,7,387634,2713438,D,DDDDDD,1,6,1,6,7,7,49,d7_nz7,train
mm_00213,389296610,409000806,159222627263067660,DDDDDDDD0,D0D000D0D,9,9,8,4,18,12,216,d18_nz12,test
mm_00214,718558,112000,80478496000,DDDDDD,DDD000,6,6,6,3,12,9,108,d12_nz9,train
mm_00215,25158035,240042269,6038991804981415,DDDDD0DD,DD00DDDDD,8,9,7,7,17,14,238,d17_nz14,train
mm_00216,82958563,37518894,3112513531589322,DDDDDDDD,DDDDDDDD,8,8,8,8,16,16,256,d16_nz16,train
mm_00217,271509245,345003148,93671544236103260,DDDD0DDDD,DDD00DDDD,9,9,8,7,18,15,270,d18_nz15,val
mm_00218,984476858,5378631,5295137747221398,DDDDDDDDD,DDDDDDD,9,7,9,7,16,16,256,d16_nz16,val
mm_00219,23437979,7020254,164540565826666,DDDDDDDD,D0D0DDD,8,7,8,5,15,13,195,d15_nz13,train
mm_00220,328177,49005,16082313885,DDDDDD,DD00D,6,5,6,3,11,9,99,d11_nz9,train
mm_00221,4855637,307000,1490680559000,DDDDDDD,D0D000,7,6,7,2,13,9,117,d13_nz9,train
mm_00222,200488,20000,4009760000,D00DDD,D0000,6,5,4,1,11,5,55,d11_nz5,train
mm_00223,986806111,100,98680611100,DDDD0DDDD,D00,9,3,8,1,12,9,108,d12_nz9,train
mm_00224,4004940,104603044,418928915037360,D00DDD0,D0DD0D0DD,7,9,4,6,16,10,160,d16_nz10,train
mm_00225,854650742,144198431,123239296049385802,DDDDD0DDD,DDDDDDDDD,9,9,8,9,18,17,306,d18_nz17,train
mm_00226,95490742,1452401,138690849171542,DDDD0DDD,DDDDD0D,8,7,7,6,15,13,195,d15_nz13,train
mm_00227,3000000,82501142,247503426000000,D000000,DDD0DDDD,7,8,1,7,15,8,120,d15_nz8,train
mm_00228,19579221,774813908,15170252738605668,DDDDDDDD,DDDDDDD0D,8,9,8,8,17,16,272,d17_nz16,test
mm_00229,24,8000000,192000000,DD,D000000,2,7,2,1,9,3,27,d9_nz3,train
mm_00230,705009005,75560209,53270627764682045,D0D00D00D,DDDD0D0D,9,8,4,6,17,10,170,d17_nz10,val
mm_00231,223161683,406,90603643298,DDDDDDDDD,D0D,9,3,9,2,12,11,132,d12_nz11,test
mm_00232,505770,503004529,254404600632330,D0DDD0,D0D00DDDD,6,9,4,6,15,10,150,d15_nz10,test
mm_00233,7678587,116029913,890945781572931,DDDDDDD,DDD0DDDDD,7,9,7,8,16,15,240,d16_nz15,val
mm_00234,335927428,14153064,4754402387839392,DDDDDDDDD,DDDDD0DD,9,8,9,7,17,16,272,d17_nz16,train
mm_00235,120696444,41019004,4950847919221776,DD0DDDDDD,DD0DD00D,9,8,8,5,17,13,221,d17_nz13,val
mm_00236,300000000,408296585,122488975500000000,D00000000,D0DDDDDDD,9,9,1,8,18,9,162,d18_nz9,train
mm_00237,521333242,43254233,22549869520113386,DDDDDDDDD,DDDDDDDD,9,8,9,8,17,17,289,d17_nz17,train
