id,a,b,product,target_heuristic,ot_score,dd_score,rc_score,category,notes,split
hds_017,49997,50003,2499999991,RC,0.45,0.3,0.75,near_50000,"Generated: 49997 near 50000, 50003 near 50000",val
hds_018,49991,50001,2499599991,RC,0.45,0.3,0.55,near_50000,"Generated: 49991 near 50000, 50001 near 50000",train
hds_019,49996,49996,2499600016,RC,0.55,0.3,0.75,near_50000,"Generated: 49996 near 50000, 49996 near 50000",train
hds_020,24996,24996,624800016,RC,0.55,0.3,0.75,near_25000,"Generated: 24996 near 25000, 24996 near 25000",train
hds_021,49999,50003,2500099997,RC,0.45,0.3,0.75,near_50000,"Generated: 49999 near 50000, 50003 near 50000",train
hds_022,49996,50002,2499899992,RC,0.45,0.3,0.75,near_50000,"Generated: 49996 near 50000, 50002 near 50000",train
hds_023,50001,50003,2500200003,RC,0.45,0.3,0.75,near_50000,"Generated: 50001 near 50000, 50003 near 50000",train
hds_024,24994,25002,624899988,RC,0.45,0.3,0.55,near_25000,"Generated: 24994 near 25000, 25002 near 25000",train
hds_025,24991,25002,624824982,RC,0.45,0.3,0.55,near_25000,"Generated: 24991 near 25000, 25002 near 25000",test
hds_026,49998,50004,2500099992,RC,0.45,0.3,0.75,near_50000,"Generated: 49998 near 50000, 50004 near 50000",train
hds_027,49997,50002,2499949994,RC,0.45,0.3,0.75,near_50000,"Generated: 49997 near 50000, 50002 near 50000",test
hds_028,24998,25002,624999996,RC,0.45,0.3,0.9,near_25000,"Generated: 24998 near 25000, 25002 near 25000",train
hds_029,49998,50007,2500249986,RC,0.45,0.3,0.55,near_50000,"Generated: 49998 near 50000, 50007 near 50000",test
hds_030,24997,25003,624999991,RC,0.45,0.3,0.75,near_25000,"Generated: 24997 near 25000, 25003 near 25000",train
hds_031,50001,50002,2500150002,RC,0.45,0.3,0.9,near_50000,"Generated: 50001 near 50000, 50002 near 50000",train
hds_032,25001,25009,625250009,RC,0.45,0.3,0.55,near_25000,"Generated: 25001 near 25000, 25009 near 25000",val
hds_033,25004,25004,625200016,RC,0.45,0.3,0.75,near_25000,"Generated: 25004 near 25000, 25004 near 25000",train
hds_034,49999,50009,2500399991,RC,0.45,0.3,0.55,near_50000,"Generated: 49999 near 50000, 50009 near 50000",train
hds_035,25001,25007,625200007,RC,0.45,0.3,0.55,near_25000,"Generated: 25001 near 25000, 25007 near 25000",val
hds_036,49999,50008,2500349992,RC,0.45,0.3,0.55,near_50000,"Generated: 49999 near 50000, 50008 near 50000",train
hds_037,25001,25001,625050001,RC,0.45,0.3,0.9,near_25000,"Generated: 25001 near 25000, 25001 near 25000",train
hds_038,50001,50008,2500450008,RC,0.45,0.3,0.55,near_50000,"Generated: 50001 near 50000, 50008 near 50000",val
hds_039,25001,25006,625175006,RC,0.45,0.3,0.55,near_25000,"Generated: 25001 near 25000, 25006 near 25000",train
hds_040,49996,49997,2499650012,RC,0.55,0.3,0.75,near_50000,"Generated: 49996 near 50000, 49997 near 50000",train
hds_041,25003,25004,625175012,RC,0.45,0.3,0.75,near_25000,"Generated: 25003 near 25000, 25004 near 25000",train
hds_042,49994,50002,2499799988,RC,0.45,0.3,0.55,near_50000,"Generated: 49994 near 50000, 50002 near 50000",val
hds_043,49998,50002,2499999996,RC,0.45,0.3,0.9,near_50000,"Generated: 49998 near 50000, 50002 near 50000",val
hds_044,24997,25004,625024988,RC,0.45,0.3,0.75,near_25000,"Generated: 24997 near 25000, 25004 near 25000",train
hds_045,25002,25008,625250016,RC,0.45,0.3,0.55,near_25000,"Generated: 25002 near 25000, 25008 near 25000",train
hds_046,49996,50003,2499949988,RC,0.45,0.3,0.75,near_50000,"Generated: 49996 near 50000, 50003 near 50000",val
hds_047,24998,24998,624900004,RC,0.55,0.3,0.9,near_25000,"Generated: 24998 near 25000, 24998 near 25000",train
hds_048,25001,25008,625225008,RC,0.45,0.3,0.55,near_25000,"Generated: 25001 near 25000, 25008 near 25000",test
hds_049,50001,50009,2500500009,RC,0.45,0.3,0.55,near_50000,"Generated: 50001 near 50000, 50009 near 50000",train
hds_050,249999,250004,62500749996,RC,0.45,0.3,0.75,near_250000,"Generated: 249999 near 250000, 250004 near 250000",train
hds_051,249999,250001,62499999999,RC,0.45,0.3,0.9,near_250000,"Generated: 249999 near 250000, 250001 near 250000",train
hds_052,499996,500004,249999999984,RC,0.45,0.3,0.75,near_500000,"Generated: 499996 near 500000, 500004 near 500000",val
hds_053,100003,100003,10000600009,RC,0.45,0.3,0.75,near_100000,"Generated: 100003 near 100000, 100003 near 100000",train
hds_054,499999,500003,250000999997,RC,0.45,0.3,0.75,near_500000,"Generated: 499999 near 500000, 500003 near 500000",val
hds_055,199998,199999,39999400002,RC,0.55,0.3,0.9,near_200000,"Generated: 199998 near 200000, 199999 near 200000",test
hds_056,100001,100006,10000700006,RC,0.45,0.3,0.55,near_100000,"Generated: 100001 near 100000, 100006 near 100000",train
hds_057,199998,200003,40000199994,RC,0.45,0.3,0.75,near_200000,"Generated: 199998 near 200000, 200003 near 200000",train
hds_058,499997,500002,249999499994,RC,0.45,0.3,0.75,near_500000,"Generated: 499997 near 500000, 500002 near 500000",train
hds_059,199999,200002,40000199998,RC,0.45,0.3,0.9,near_200000,"Generated: 199999 near 200000, 200002 near 200000",train
hds_060,199999,200006,40000999994,RC,0.45,0.3,0.55,near_200000,"Generated: 199999 near 200000, 200006 near 200000",train
hds_061,250001,250007,62502000007,RC,0.45,0.3,0.55,near_250000,"Generated: 250001 near 250000, 250007 near 250000",test
hds_062,99998,100008,10000599984,RC,0.45,0.3,0.55,near_100000,"Generated: 99998 near 100000, 100008 near 100000",train
hds_063,499994,500001,249997499994,RC,0.45,0.3,0.55,near_500000,"Generated: 499994 near 500000, 500001 near 500000",train
hds_064,499991,500002,249996499982,RC,0.45,0.3,0.55,near_500000,"Generated: 499991 near 500000, 500002 near 500000",test
hds_065,499996,500002,249998999992,RC,0.45,0.3,0.75,near_500000,"Generated: 499996 near 500000, 500002 near 500000",train
hds_066,200002,200003,40001000006,RC,0.45,0.3,0.75,near_200000,"Generated: 200002 near 200000, 200003 near 200000",train
hds_067,99999,100003,10000199997,RC,0.45,0.3,0.75,near_100000,"Generated: 99999 near 100000, 100003 near 100000",train
hds_068,499999,500001,249999999999,RC,0.45,0.3,0.9,near_500000,"Generated: 499999 near 500000, 500001 near 500000",train
hds_069,99999,100002,10000099998,RC,0.45,0.3,0.9,near_100000,"Generated: 99999 near 100000, 100002 near 100000",train
hds_070,249999,250009,62501999991,RC,0.45,0.3,0.55,near_250000,"Generated: 249999 near 250000, 250009 near 250000",train
hds_071,100004,100004,10000800016,RC,0.45,0.3,0.75,near_100000,"Generated: 100004 near 100000, 100004 near 100000",train
hds_072,250001,250008,62502250008,RC,0.45,0.3,0.55,near_250000,"Generated: 250001 near 250000, 250008 near 250000",val
hds_073,199992,200002,39998799984,RC,0.45,0.3,0.55,near_200000,"Generated: 199992 near 200000, 200002 near 200000",train
hds_074,199997,199997,39998800009,RC,0.55,0.3,0.75,near_200000,"Generated: 199997 near 200000, 199997 near 200000",val
hds_075,199996,200004,39999999984,RC,0.45,0.3,0.75,near_200000,"Generated: 199996 near 200000, 200004 near 200000",test
hds_076,499993,500002,249997499986,RC,0.45,0.3,0.55,near_500000,"Generated: 499993 near 500000, 500002 near 500000",train
hds_077,99998,100004,10000199992,RC,0.45,0.3,0.75,near_100000,"Generated: 99998 near 100000, 100004 near 100000",train
hds_078,500001,500006,250003500006,RC,0.45,0.3,0.55,near_500000,"Generated: 500001 near 500000, 500006 near 500000",train
hds_079,500001,500008,250004500008,RC,0.45,0.3,0.55,near_500000,"Generated: 500001 near 500000, 500008 near 500000",val
hds_080,250001,250006,62501750006,RC,0.45,0.3,0.55,near_250000,"Generated: 250001 near 250000, 250006 near 250000",train
hds_081,499997,500003,249999999991,RC,0.45,0.3,0.75,near_500000,"Generated: 499997 near 500000, 500003 near 500000",train
hds_082,499999,500006,250002499994,RC,0.45,0.3,0.55,near_500000,"Generated: 499999 near 500000, 500006 near 500000",train
hds_083,99996,100003,9999899988,RC,0.45,0.3,0.75,near_100000,"Generated: 99996 near 100000, 100003 near 100000",train
hds_084,100001,100002,10000300002,RC,0.45,0.3,0.9,near_100000,"Generated: 100001 near 100000, 100002 near 100000",train
hds_085,250002,250004,62501500008,RC,0.45,0.3,0.75,near_250000,"Generated: 250002 near 250000, 250004 near 250000",train
hds_086,249996,250001,62499249996,RC,0.45,0.3,0.75,near_250000,"Generated: 249996 near 250000, 250001 near 250000",train
hds_087,100001,100008,10000900008,RC,0.45,0.3,0.55,near_100000,"Generated: 100001 near 100000, 100008 near 100000",test
hds_088,500003,500004,250003500012,RC,0.45,0.3,0.75,near_500000,"Generated: 500003 near 500000, 500004 near 500000",train
hds_089,250003,250004,62501750012,RC,0.45,0.3,0.75,near_250000,"Generated: 250003 near 250000, 250004 near 250000",train
hds_090,200001,200003,40000800003,RC,0.45,0.3,0.75,near_200000,"Generated: 200001 near 200000, 200003 near 200000",train
hds_091,100001,100003,10000400003,RC,0.45,0.3,0.75,near_100000,"Generated: 100001 near 100000, 100003 near 100000",val
hds_092,100001,100007,10000800007,RC,0.45,0.3,0.55,near_100000,"Generated: 100001 near 100000, 100007 near 100000",train
hds_093,99992,100002,9999399984,RC,0.45,0.3,0.55,near_100000,"Generated: 99992 near 100000, 100002 near 100000",train
hds_094,249999,250007,62501499993,RC,0.45,0.3,0.55,near_250000,"Generated: 249999 near 250000, 250007 near 250000",test
hds_095,199998,200007,40000999986,RC,0.45,0.3,0.55,near_200000,"Generated: 199998 near 200000, 200007 near 200000",train
hds_096,499992,500002,249996999984,RC,0.45,0.3,0.55,near_500000,"Generated: 499992 near 500000, 500002 near 500000",train
hds_097,199998,200008,40001199984,RC,0.45,0.3,0.55,near_200000,"Generated: 199998 near 200000, 200008 near 200000",val
hds_098,200001,200009,40002000009,RC,0.45,0.3,0.55,near_200000,"Generated: 200001 near 200000, 200009 near 200000",val
hds_099,200003,200003,40001200009,RC,0.45,0.3,0.75,near_200000,"Generated: 200003 near 200000, 200003 near 200000",train
hds_100,5000002,5000009,25000055000018,RC,0.45,0.3,0.55,near_5000000,"Generated: 5000002 near 5000000, 5000009 near 5000000",train
hds_101,5000002,5000007,25000045000014,RC,0.45,0.3,0.55,near_5000000,"Generated: 5000002 near 5000000, 5000007 near 5000000",train
hds_102,2499996,2500001,6249992499996,RC,0.45,0.3,0.75,near_2500000,"Generated: 2499996 near 2500000, 2500001 near 2500000",train
hds_103,2000001,2000009,4000020000009,RC,0.45,0.3,0.55,near_2000000,"Generated: 2000001 near 2000000, 2000009 near 2000000",train
hds_104,1999996,1999996,3999984000016,RC,0.55,0.3,0.75,near_2000000,"Generated: 1999996 near 2000000, 1999996 near 2000000",val
hds_105,4999999,5000001,24999999999999,RC,0.45,0.3,0.9,near_5000000,"Generated: 4999999 near 5000000, 5000001 near 5000000",train
hds_106,9999997,9999999,99999960000003,RC,0.55,0.3,0.75,near_10000000,"Generated: 9999997 near 10000000, 9999999 near 10000000",train
hds_107,4999997,4999998,24999975000006,RC,0.55,0.3,0.75,near_5000000,"Generated: 4999997 near 5000000, 4999998 near 5000000",test
hds_108,2499997,2500004,6250002499988,RC,0.45,0.3,0.75,near_2500000,"Generated: 2499997 near 2500000, 2500004 near 2500000",train
hds_109,2499996,2500003,6249997499988,RC,0.45,0.3,0.75,near_2500000,"Generated: 2499996 near 2500000, 2500003 near 2500000",train
hds_110,4999998,4999998,24999980000004,RC,0.55,0.3,0.9,near_5000000,"Generated: 4999998 near 5000000, 4999998 near 5000000",train
hds_111,2000002,2000004,4000012000008,RC,0.45,0.3,0.75,near_2000000,"Generated: 2000002 near 2000000, 2000004 near 2000000",val
hds_112,4999993,5000001,24999969999993,RC,0.45,0.3,0.55,near_5000000,"Generated: 4999993 near 5000000, 5000001 near 5000000",train
hds_113,1999999,2000006,4000009999994,RC,0.45,0.3,0.55,near_2000000,"Generated: 1999999 near 2000000, 2000006 near 2000000",train
hds_114,2499998,2500002,6249999999996,RC,0.45,0.3,0.9,near_2500000,"Generated: 2499998 near 2500000, 2500002 near 2500000",train
hds_115,2000001,2000001,4000004000001,RC,0.45,0.3,0.9,near_2000000,"Generated: 2000001 near 2000000, 2000001 near 2000000",train
hds_116,4999997,5000004,25000004999988,RC,0.45,0.3,0.75,near_5000000,"Generated: 4999997 near 5000000, 5000004 near 5000000",train
hds_117,9999996,9999998,99999940000008,RC,0.55,0.3,0.75,near_10000000,"Generated: 9999996 near 10000000, 9999998 near 10000000",train
hds_118,1999997,2000003,3999999999991,RC,0.45,0.3,0.75,near_2000000,"Generated: 1999997 near 2000000, 2000003 near 2000000",test
hds_119,1999998,2000001,3999997999998,RC,0.45,0.3,0.9,near_2000000,"Generated: 1999998 near 2000000, 2000001 near 2000000",train
hds_120,999991,1000002,999992999982,RC,0.45,0.3,0.55,near_1000000,"Generated: 999991 near 1000000, 1000002 near 1000000",train
hds_121,1999991,2000001,3999983999991,RC,0.45,0.3,0.55,near_2000000,"Generated: 1999991 near 2000000, 2000001 near 2000000",test
hds_122,2000001,2000006,4000014000006,RC,0.45,0.3,0.55,near_2000000,"Generated: 2000001 near 2000000, 2000006 near 2000000",val
hds_123,2499998,2500007,6250012499986,RC,0.45,0.3,0.55,near_2500000,"Generated: 2499998 near 2500000, 2500007 near 2500000",train
hds_124,4999996,5000001,24999984999996,RC,0.45,0.3,0.75,near_5000000,"Generated: 4999996 near 5000000, 5000001 near 5000000",train
hds_125,2499997,2500003,6249999999991,RC,0.45,0.3,0.75,near_2500000,"Generated: 2499997 near 2500000, 2500003 near 2500000",train
hds_126,999999,1000009,1000007999991,RC,0.45,0.3,0.55,near_1000000,"Generated: 999999 near 1000000, 1000009 near 1000000",train
hds_127,999994,1000002,999995999988,RC,0.45,0.3,0.55,near_1000000,"Generated: 999994 near 1000000, 1000002 near 1000000",train
hds_128,1999996,1999997,3999986000012,RC,0.55,0.3,0.75,near_2000000,"Generated: 1999996 near 2000000, 1999997 near 2000000",train
hds_129,1999996,1999999,3999990000004,RC,0.55,0.3,0.75,near_2000000,"Generated: 1999996 near 2000000, 1999999 near 2000000",train
hds_130,2500003,2500004,6250017500012,RC,0.45,0.3,0.75,near_2500000,"Generated: 2500003 near 2500000, 2500004 near 2500000",test
hds_131,999998,1000007,1000004999986,RC,0.45,0.3,0.55,near_1000000,"Generated: 999998 near 1000000, 1000007 near 1000000",train
hds_132,2500002,2500007,6250022500014,RC,0.45,0.3,0.55,near_2500000,"Generated: 2500002 near 2500000, 2500007 near 2500000",train
hds_133,1000003,1000004,1000007000012,RC,0.45,0.3,0.75,near_1000000,"Generated: 1000003 near 1000000, 1000004 near 1000000",train
hds_134,4999996,4999999,24999975000004,RC,0.55,0.3,0.75,near_5000000,"Generated: 4999996 near 5000000, 4999999 near 5000000",train
hds_135,2500001,2500002,6250007500002,RC,0.45,0.3,0.9,near_2500000,"Generated: 2500001 near 2500000, 2500002 near 2500000",train
hds_136,999999,1000008,1000006999992,RC,0.45,0.3,0.55,near_1000000,"Generated: 999999 near 1000000, 1000008 near 1000000",test
hds_137,1999999,1999999,3999996000001,RC,0.55,0.3,0.9,near_2000000,"Generated: 1999999 near 2000000, 1999999 near 2000000",train
hds_138,1999994,2000002,3999991999988,RC,0.45,0.3,0.55,near_2000000,"Generated: 1999994 near 2000000, 2000002 near 2000000",train
hds_139,4999998,5000002,24999999999996,RC,0.45,0.3,0.9,near_5000000,"Generated: 4999998 near 5000000, 5000002 near 5000000",train
hds_140,2499997,2500002,6249997499994,RC,0.45,0.3,0.75,near_2500000,"Generated: 2499997 near 2500000, 2500002 near 2500000",val
hds_141,2499996,2499999,6249987500004,RC,0.55,0.3,0.75,near_2500000,"Generated: 2499996 near 2500000, 2499999 near 2500000",train
hds_142,999998,1000006,1000003999988,RC,0.45,0.3,0.55,near_1000000,"Generated: 999998 near 1000000, 1000006 near 1000000",train
hds_143,1999998,2000006,4000007999988,RC,0.45,0.3,0.55,near_2000000,"Generated: 1999998 near 2000000, 2000006 near 2000000",val
hds_144,5000001,5000007,25000040000007,RC,0.45,0.3,0.55,near_5000000,"Generated: 5000001 near 5000000, 5000007 near 5000000",train
hds_145,4999998,5000003,25000004999994,RC,0.45,0.3,0.75,near_5000000,"Generated: 4999998 near 5000000, 5000003 near 5000000",train
hds_146,2499998,2499998,6249990000004,RC,0.55,0.3,0.9,near_2500000,"Generated: 2499998 near 2500000, 2499998 near 2500000",train
hds_147,2000001,2000004,4000010000004,RC,0.45,0.3,0.75,near_2000000,"Generated: 2000001 near 2000000, 2000004 near 2000000",train
hds_148,9999997,9999997,99999940000009,RC,0.55,0.3,0.75,near_10000000,"Generated: 9999997 near 10000000, 9999997 near 10000000",train
hds_149,2499999,2500009,6250019999991,RC,0.45,0.3,0.55,near_2500000,"Generated: 2499999 near 2500000, 2500009 near 2500000",train
hds_150,49999997,50000001,2499999899999997,RC,0.45,0.3,0.75,near_50000000,"Generated: 49999997 near 50000000, 50000001 near 50000000",train
hds_151,24999999,25000002,625000024999998,RC,0.45,0.3,0.9,near_25000000,"Generated: 24999999 near 25000000, 25000002 near 25000000",test
hds_152,20000001,20000002,400000060000002,RC,0.45,0.3,0.9,near_20000000,"Generated: 20000001 near 20000000, 20000002 near 20000000",train
hds_153,19999996,20000004,399999999999984,RC,0.45,0.3,0.75,near_20000000,"Generated: 19999996 near 20000000, 20000004 near 20000000",train
hds_154,50000001,50000009,2500000500000009,RC,0.45,0.3,0.55,near_50000000,"Generated: 50000001 near 50000000, 50000009 near 50000000",train
hds_155,49999999,50000006,2500000249999994,RC,0.45,0.3,0.55,near_50000000,"Generated: 49999999 near 50000000, 50000006 near 50000000",train
hds_156,10000001,10000007,100000080000007,RC,0.45,0.3,0.55,near_10000000,"Generated: 10000001 near 10000000, 10000007 near 10000000",train
hds_157,19999997,20000003,399999999999991,RC,0.45,0.3,0.75,near_20000000,"Generated: 19999997 near 20000000, 20000003 near 20000000",train
hds_158,50000001,50000004,2500000250000004,RC,0.45,0.3,0.75,near_50000000,"Generated: 50000001 near 50000000, 50000004 near 50000000",test
hds_159,24999998,24999999,624999925000002,RC,0.55,0.3,0.9,near_25000000,"Generated: 24999998 near 25000000, 24999999 near 25000000",train
hds_160,49999998,50000004,2500000099999992,RC,0.45,0.3,0.75,near_50000000,"Generated: 49999998 near 50000000, 50000004 near 50000000",train
hds_161,19999994,20000002,399999919999988,RC,0.45,0.3,0.55,near_20000000,"Generated: 19999994 near 20000000, 20000002 near 20000000",train
hds_162,19999996,20000001,399999939999996,RC,0.45,0.3,0.75,near_20000000,"Generated: 19999996 near 20000000, 20000001 near 20000000",val
hds_163,19999999,20000007,400000119999993,RC,0.45,0.3,0.55,near_20000000,"Generated: 19999999 near 20000000, 20000007 near 20000000",train
hds_164,49999996,50000004,2499999999999984,RC,0.45,0.3,0.75,near_50000000,"Generated: 49999996 near 50000000, 50000004 near 50000000",train
hds_165,25000002,25000007,625000225000014,RC,0.45,0.3,0.55,near_25000000,"Generated: 25000002 near 25000000, 25000007 near 25000000",val
hds_166,19999991,20000002,399999859999982,RC,0.45,0.3,0.55,near_20000000,"Generated: 19999991 near 20000000, 20000002 near 20000000",train
hds_167,19999993,20000002,399999899999986,RC,0.45,0.3,0.55,near_20000000,"Generated: 19999993 near 20000000, 20000002 near 20000000",val
hds_168,25000001,25000009,625000250000009,RC,0.45,0.3,0.55,near_25000000,"Generated: 25000001 near 25000000, 25000009 near 25000000",val
hds_169,49999999,50000007,2500000299999993,RC,0.45,0.3,0.55,near_50000000,"Generated: 49999999 near 50000000, 50000007 near 50000000",train
hds_170,24999991,25000001,624999799999991,RC,0.45,0.3,0.55,near_25000000,"Generated: 24999991 near 25000000, 25000001 near 25000000",train
hds_171,24999997,24999998,624999875000006,RC,0.55,0.3,0.75,near_25000000,"Generated: 24999997 near 25000000, 24999998 near 25000000",train
hds_172,49999992,50000002,2499999699999984,RC,0.45,0.3,0.55,near_50000000,"Generated: 49999992 near 50000000, 50000002 near 50000000",test
hds_173,19999999,20000009,400000159999991,RC,0.45,0.3,0.55,near_20000000,"Generated: 19999999 near 20000000, 20000009 near 20000000",train
hds_174,9999998,10000003,100000009999994,RC,0.45,0.3,0.75,near_10000000,"Generated: 9999998 near 10000000, 10000003 near 10000000",test
hds_175,10000001,10000006,100000070000006,RC,0.45,0.3,0.55,near_10000000,"Generated: 10000001 near 10000000, 10000006 near 10000000",train
hds_176,9999999,10000001,99999999999999,RC,0.45,0.3,0.9,near_10000000,"Generated: 9999999 near 10000000, 10000001 near 10000000",train
hds_177,50000001,50000002,2500000150000002,RC,0.45,0.3,0.9,near_50000000,"Generated: 50000001 near 50000000, 50000002 near 50000000",train
hds_178,19999998,20000004,400000039999992,RC,0.45,0.3,0.75,near_20000000,"Generated: 19999998 near 20000000, 20000004 near 20000000",train
hds_179,49999999,50000001,2499999999999999,RC,0.45,0.3,0.9,near_50000000,"Generated: 49999999 near 50000000, 50000001 near 50000000",train
hds_180,20000002,20000003,400000100000006,RC,0.45,0.3,0.75,near_20000000,"Generated: 20000002 near 20000000, 20000003 near 20000000",train
hds_181,49999998,50000002,2499999999999996,RC,0.45,0.3,0.9,near_50000000,"Generated: 49999998 near 50000000, 50000002 near 50000000",val
hds_182,19999996,20000003,399999979999988,RC,0.45,0.3,0.75,near_20000000,"Generated: 19999996 near 20000000, 20000003 near 20000000",train
hds_183,25000001,25000003,625000100000003,RC,0.45,0.3,0.75,near_25000000,"Generated: 25000001 near 25000000, 25000003 near 25000000",train
hds_184,49999996,49999999,2499999750000004,RC,0.55,0.3,0.75,near_50000000,"Generated: 49999996 near 50000000, 49999999 near 50000000",test
hds_185,24999996,24999998,624999850000008,RC,0.55,0.3,0.75,near_25000000,"Generated: 24999996 near 25000000, 24999998 near 25000000",train
hds_186,24999997,24999999,624999900000003,RC,0.55,0.3,0.75,near_25000000,"Generated: 24999997 near 25000000, 24999999 near 25000000",train
hds_187,25000001,25000004,625000125000004,RC,0.45,0.3,0.75,near_25000000,"Generated: 25000001 near 25000000, 25000004 near 25000000",train
hds_188,49999998,50000008,2500000299999984,RC,0.45,0.3,0.55,near_50000000,"Generated: 49999998 near 50000000, 50000008 near 50000000",train
hds_189,19999999,20000004,400000059999996,RC,0.45,0.3,0.75,near_20000000,"Generated: 19999999 near 20000000, 20000004 near 20000000",val
hds_190,9999998,10000002,99999999999996,RC,0.45,0.3,0.9,near_10000000,"Generated: 9999998 near 10000000, 10000002 near 10000000",train
hds_191,24999997,24999997,624999850000009,RC,0.55,0.3,0.75,near_25000000,"Generated: 24999997 near 25000000, 24999997 near 25000000",train
hds_192,9999996,10000004,99999999999984,RC,0.45,0.3,0.75,near_10000000,"Generated: 9999996 near 10000000, 10000004 near 10000000",test
hds_193,10000004,10000004,100000080000016,RC,0.45,0.3,0.75,near_10000000,"Generated: 10000004 near 10000000, 10000004 near 10000000",train
hds_194,19999997,19999999,399999920000003,RC,0.55,0.3,0.75,near_20000000,"Generated: 19999997 near 20000000, 19999999 near 20000000",val
hds_195,50000004,50000004,2500000400000016,RC,0.45,0.3,0.75,near_50000000,"Generated: 50000004 near 50000000, 50000004 near 50000000",test
hds_196,9999999,10000007,100000059999993,RC,0.45,0.3,0.55,near_10000000,"Generated: 9999999 near 10000000, 10000007 near 10000000",train
hds_197,49999998,50000009,2500000349999982,RC,0.45,0.3,0.55,near_50000000,"Generated: 49999998 near 50000000, 50000009 near 50000000",train
hds_198,25000001,25000007,625000200000007,RC,0.45,0.3,0.55,near_25000000,"Generated: 25000001 near 25000000, 25000007 near 25000000",train
hds_199,19999999,20000006,400000099999994,RC,0.45,0.3,0.55,near_20000000,"Generated: 19999999 near 20000000, 20000006 near 20000000",train
hds_200,26294,30640,805648160,DD,0.45,1.0,0.1,zero_factor,Generated: 26294*30640 = 26294*3064*10,train
hds_201,25238,48700,1229090600,DD,0.55,1.0,0.1,hundred_factor,Generated: 25238*48700,train
hds_202,43765,98120,4294221800,DD,0.55,1.0,0.1,clean_decomp,Generated: 43765 = 43760+5,train
hds_203,43931,19100,839082100,DD,0.45,1.0,0.1,hundred_factor,Generated: 43931*19100,train
hds_204,23753,30140,715915420,DD,0.45,1.0,0.1,zero_factor,Generated: 23753*30140 = 23753*3014*10,train
hds_205,55850,62420,3486157000,DD,0.55,1.0,0.1,zero_factor,Generated: 55850*62420 = 55850*6242*10,val
hds_206,58072,96230,5588268560,DD,0.55,1.0,0.1,zero_factor,Generated: 58072*96230 = 58072*9623*10,train
hds_207,90712,92210,8364553520,DD,0.45,1.0,0.1,zero_factor,Generated: 90712*92210 = 90712*9221*10,train
hds_208,16565,56900,942548500,DD,0.45,1.0,0.1,hundred_factor,Generated: 16565*56900,train
hds_209,45965,26320,1209798800,DD,0.55,1.0,0.1,clean_decomp,Generated: 45965 = 45960+5,test
hds_210,65442,42610,2788483620,DD,0.45,1.0,0.1,zero_factor,Generated: 65442*42610 = 65442*4261*10,train
hds_211,399045,400641,159873787845,DD,0.45,0.65,0.1,clean_decomp,Generated: 399045 = 399040+5,test
hds_212,24413,996850,24336099050,DD,0.55,1.0,0.1,zero_factor,Generated: 24413*996850 = 24413*99685*10,train
hds_213,985075,27269,26862010175,DD,0.55,0.9999999999999999,0.1,clean_decomp,Generated: 985075 = 985070+5,train
hds_214,979625,88555,86750691875,DD,0.55,0.9999999999999999,0.1,clean_decomp,Generated: 979625 = 979620+5,train
hds_215,301112,137300,41342677600,DD,0.45,1.0,0.1,hundred_factor,Generated: 301112*137300,train
